games	name	rating	years
26	AGHABEKIAN, Liana	2218	2001-2007
43	ASTENGO, Corrado	2218	1992-2012
45	ADLER, Bo	2221	1975-2015
24	ASHBY, Anthony C	2226	1963-2010
29	ARSENAULT, Nicolas	2229	2005-2010
44	AGNELO, Amorim	2229	1998-2014
21	ANBUHL, Edgar	2230	1981-1982
46	AKVIST, Hakan	2230	1965-2002
90	ANTONIOU, Antonis	2231	1994-2014
23	ANDREASSEN, Lars	2233	2006-2007
35	ADAMS, David M	2234	1978-2007
40	APTEKAR, Lev Isaakovich	2240	1963-1983
29	AJVAZI, Ramadan	2240	2008-2013
44	ANDERTON, Matthew N	2244	1992-2012
165	AGREST, Inna	2251	2005-2014
151	ANDERSSON, Christin	2252	1990-2012
30	ANDERSEN, Alf Roger	2256	2001-2014
57	AMER, Karim	2257	2000-2010
53	ADAMS, Nick A	2258	1984-2011
48	AVARI, Viraf	2259	1996-2004
46	ABBINK, Michel	2259	1992-2002
23	ANDREASEN, Joan Hendrik	2260	2008-2012
56	ASK, Josef	2260	1998-2015
67	ARNDT, Stefan	2262	1987-2001
23	AKOPIAN, Gagik	2263	1965-2008
21	ALLEN, Andrew	2263	1992-2001
39	ABDUL, Malek Mohammed	2264	2004-2009
38	ARYANEJAD, Hossein	2265	1990-2008
71	ADDISON, Bret C	2266	2001-2011
42	ANDERTON, David W	2267	1970-2012
22	ALBORNOZ, Guillermo Cerda	2267	2003-2008
27	ANDREJIC, Vladica	2268	2007-2012
25	AIRAPETIAN, Tatevik	2268	2006-2007
24	ABHILASH, Reddy M L	2269	2011-2012
21	ANGSKOG, Kent	2271	1994-2010
23	ADEBAYO, Adegboyega	2272	2003-2008
25	ANTOGNINI, Francesco	2272	2001-2014
49	ANDRENKO, Irina	2272	2007-2014
26	AL-TARBOSH, Ward	2272	2011-2014
106	ANDERSEN, Daniel	2273	1992-2014
22	ALEKSEEVA, Alena	2274	2001-2009
33	ASKARIAN, Karen	2274	1999-2005
28	ADAMSKI, Andrzej	2275	1961-1998
64	AGREST, Svetlana	2276	2001-2009
21	AGDAMUS, Jose Luis	2276	1970-1995
74	ARNAUDOV, Petar	2276	1967-2013
45	AKATOVA, Ekaterina	2278	2005-2010
25	AKDAG, Dara	2278	2006-2014
52	ARAMIL, William J	2280	1999-2014
23	ASCHENBRENNER, Robert	2280	2006-2014
60	AL-HADARANI, Hatim	2280	1990-2014
26	ABDUL, Majeed Mohamad	2282	1989-2006
33	ANTONIO, Viani D'cunha	2282	2008-2014
27	ALBARRAN, Gustavo	2283	1996-2004
